system:index,GPCODE,GPNAME,SLOPE_DEG,.geo
175_0,111972,SASHANBARIA,1.0133542,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,111973,SHYAMPUR,5.761224,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,111974,SIJUA,2.2295024,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,111976,SIWALIBARI MIDDLE,2.1127393,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,111979,SONBAD,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,111980,SUSUNLIYA,4.446863,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,111981,UPCHURIYA,2.2287288,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,111982,URMA,2.7449248,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,111983,BHUIYA CHITRO,5.0585866,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,111984,BISHANPUR,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,111985,BRAHAMANDIHA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,111986,CHAITA,5.5289426,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,111987,CHITARPUR,1.3743895,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,111988,DHANGI,1.0140069,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,111989,DUMDUMI,4.116716,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,111990,GENDANAWADIH,1.3740442,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,111991,GHUNGHASA,3.1774204,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,111992,GOMO NORTH,4.4518332,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,111994,HARIHARPUR,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,111996,KHARIYO,3.438977,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,111998,KORKOTA,1.3742641,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,111999,LEDATAND,2.229946,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,112000,LOKBAD,2.1133246,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,112001,MADAIDIH,2.113354,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,112002,MATARI,26.433105,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,112003,NERO,1.3743043,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,112004,PAWAPUR,2.0284014,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,112005,PRADHANKHANTA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,112006,RAMAKUNDA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,112007,SINGHDAHA,2.1131806,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,112008,SIRAMPUR,2.113188,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,112009,TANTRI,7.2989845,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,112010,TOPCHANCHI,4.6273675,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,112011,BARWATAND,3.1789412,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,112012,BEGNARIYA,7.488362,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,112013,CHURURIYA,2.7477622,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,112014,JATAKHUTI,2.7484498,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,112015,JEETPUR,5.482732,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,112016,KADAIYA,2.0282488,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,112017,KAMARDIH,2.7472925,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,112018,KATNIA,1.0146538,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,112019,KOLHAR,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,112020,LACHURAYDIH,1.014427,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,112021,LATANI,7.6466227,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,112022,LUKAIA,3.4401083,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,112023,MACHIYARA,6.5427394,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,112024,MAIRANAWATAND,3.1793346,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,112025,MANIYADIH,1.3747814,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,112026,MOHLIDIH,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,112027,PHATEHPUR,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,112028,PURNADIH,3.180731,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,112029,RAGHUNATHPUR,3.559693,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,112030,RAJABHITHA,4.1559024,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,112031,RAMPUR,7.9684143,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,112032,RATANPUR,5.0493565,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,112033,RUPAN,8.2891,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,112034,TUNDI,2.113603,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,112035,UKMA,3.8405213,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,245449,CHHOTANAGRI,2.7802885,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,245450,NAVADIH,4.2203603,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,245451,PETIA,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,245452,PARASBANIA,4.784118,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,245453,CHHATATAND,4.7846923,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,277569,PANDRABEJRA,7.1249337,"{""type"":""MultiPoint"",""coordinates"":[]}"
