system:index,ELEVATION_M,GPCODE,GPNAME,.geo
203_0,248,112006,RAMAKUNDA,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,257,112007,SINGHDAHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,263,112008,SIRAMPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,313,112009,TANTRI,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,302,112010,TOPCHANCHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,248,112011,BARWATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,312,112012,BEGNARIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,216,112013,CHURURIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,218,112014,JATAKHUTI,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,307,112015,JEETPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,232,112016,KADAIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,243,112017,KAMARDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,258,112018,KATNIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,226,112019,KOLHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,230,112020,LACHURAYDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,231,112021,LATANI,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,216,112022,LUKAIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,273,112023,MACHIYARA,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,185,112024,MAIRANAWATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,286,112025,MANIYADIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,171,112026,MOHLIDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,249,112027,PHATEHPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,232,112028,PURNADIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,208,112029,RAGHUNATHPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,260,112030,RAJABHITHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,288,112031,RAMPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,201,112032,RATANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,277,112033,RUPAN,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,236,112034,TUNDI,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,205,112035,UKMA,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,223,245449,CHHOTANAGRI,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,250,245450,NAVADIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,177,245451,PETIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,164,245452,PARASBANIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,188,245453,CHHATATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,161,277569,PANDRABEJRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
